A_0	A_1	A_2	A_3	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	1	#	1	#	#	#	#	#	1	#	1	#	#	#	#	#	#	#	#	1	1.0
#	0	1	#	#	#	#	#	#	#	#	1	#	#	1	#	0	1	#	1	1	0.22301350200402018
0	1	#	#	1	#	#	#	#	#	1	1	#	0	#	#	#	#	#	#	1	0.32376042791084875
0	1	1	0	#	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	0	1.0
1	0	0	1	#	#	#	#	#	#	#	#	#	0	#	#	#	#	#	#	0	1.0
0	#	1	0	#	#	0	#	#	#	0	#	#	#	#	#	#	#	#	#	0	1.0
1	0	1	#	#	#	#	#	#	#	#	#	#	#	0	0	#	#	#	#	0	1.0
#	1	#	1	1	#	1	0	1	#	1	#	#	1	#	#	#	0	#	#	1	0.13168724279835387
0	0	0	0	#	#	1	1	#	0	0	0	0	#	0	0	#	#	0	#	0	1.0
#	1	1	#	1	#	0	#	#	1	#	#	#	1	0	#	#	#	#	#	1	0.13952361225946727
0	#	#	0	#	#	0	#	0	0	#	#	#	#	#	#	#	#	#	#	0	0.25952446311862476
1	0	1	0	#	#	#	#	#	#	#	#	#	#	0	#	#	#	#	#	0	1.0
#	0	#	1	1	1	0	#	#	#	#	1	0	1	#	#	#	#	#	#	1	0.6590815232000001
1	0	0	#	#	#	#	#	#	#	#	#	0	0	#	#	#	#	#	#	0	1.0
0	#	#	#	0	#	#	#	#	#	#	#	1	#	0	#	0	#	#	#	0	0.1572999395140938
1	#	#	0	#	#	#	#	#	#	1	#	1	#	#	#	1	#	#	#	1	0.22541812318751486
1	0	#	#	#	#	#	#	#	#	#	#	#	#	#	1	#	#	#	#	1	0.11109208186977595
0	1	#	1	#	#	#	#	#	1	#	#	#	#	#	#	#	#	#	#	1	0.1463944548531311
#	#	0	#	1	#	#	#	#	#	1	#	#	#	0	#	#	1	#	#	1	0.2373046875
0	#	1	1	#	#	#	#	#	0	#	0	0	#	1	1	#	#	#	#	0	1.0
#	#	1	#	#	#	#	#	#	#	0	1	#	0	#	0	#	#	0	0	0	0.17256359665582893
1	0	#	0	#	#	#	#	#	#	#	#	#	#	1	#	#	#	#	#	1	0.29710982631895394
1	0	1	1	#	#	#	#	#	#	#	#	#	#	#	0	#	#	#	#	0	1.0
0	0	0	#	1	#	#	#	#	#	#	#	1	#	#	#	#	#	#	#	1	0.35832473232811834
0	1	0	1	#	#	#	#	0	#	#	0	#	#	#	0	#	#	#	#	0	0.04158799090330928
#	#	1	#	0	#	#	#	#	#	#	#	#	#	0	#	#	0	0	#	0	0.3276800000000001
#	0	0	0	0	#	#	#	#	#	#	#	#	0	#	#	#	#	#	#	0	0.10327457758872265
1	0	#	1	#	1	#	#	#	1	1	#	#	1	#	#	#	1	#	#	1	0.28462802079628785
1	1	#	#	#	#	#	1	#	#	#	#	#	#	#	#	1	1	#	1	1	0.900084126633381
1	1	1	#	0	#	#	#	0	#	#	0	#	0	0	#	#	#	#	#	0	0.17525145137855438
1	0	#	0	#	#	#	#	1	#	#	#	1	#	1	#	#	#	#	#	1	1.0
1	#	1	#	#	#	#	#	#	#	0	#	#	#	#	0	#	#	0	#	0	0.4939144320360374
1	#	1	#	#	#	#	#	#	#	0	#	#	#	#	0	#	#	#	#	0	0.19474494400297804
1	0	#	1	#	#	#	1	0	#	1	#	1	1	1	#	#	#	#	1	1	1.0
0	1	0	0	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	0	1.0
0	1	#	1	#	#	#	#	0	1	#	#	#	#	#	#	#	#	#	#	1	0.15548635469057523
#	#	#	#	#	#	#	#	#	0	1	1	1	0	#	#	#	0	#	#	1	0.11878715787945013
0	1	0	1	#	#	#	#	#	1	#	#	#	#	#	#	#	#	#	#	1	1.0
0	0	0	0	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	1.0
0	#	1	1	1	#	#	#	0	#	#	#	0	0	#	#	#	1	1	#	1	0.401877572016461
1	#	1	1	#	#	#	#	#	#	#	#	#	#	0	0	#	#	#	#	0	0.47510087076476
#	0	1	#	#	#	#	#	#	#	#	#	#	#	#	1	#	1	#	#	1	0.12825807601392347
#	1	0	#	#	1	#	#	#	#	1	1	#	#	#	#	#	1	#	0	1	0.18593443208187066
