A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	#	1	#	0	#	0	#	0	1	1	0.3173112237881989
#	#	1	#	0	0	#	#	0	1	0	0	0.5689416088757201
#	#	#	0	#	#	0	0	#	#	0	0	0.23860427194515973
#	1	1	#	#	#	0	#	#	#	0	0	1.0
#	#	1	0	#	1	#	#	1	#	1	1	0.22680616162054318
#	#	#	1	1	#	#	#	#	#	#	1	0.09253119491766068
0	1	#	1	0	1	#	0	1	1	#	1	0.2373046875
0	#	0	0	#	#	#	#	#	#	#	0	0.23330975043836072
0	#	0	1	1	#	#	#	#	#	0	1	0.20801303962464987
#	0	#	1	1	1	#	#	#	#	#	1	0.2305864187499098
0	0	0	0	#	#	#	#	#	#	#	0	1.0
1	1	#	#	#	#	1	#	#	#	1	1	0.24422676351269823
0	0	#	0	#	#	#	#	#	#	1	0	0.23193602552357678
#	#	0	#	1	#	#	1	#	1	#	1	0.23186215113714514
#	0	#	#	0	0	0	0	#	#	0	0	0.23178621541003852
#	1	1	#	0	1	0	#	1	#	#	0	0.2481884326272296
1	#	#	1	#	#	1	#	#	#	1	1	0.08981296603740942
#	1	0	#	#	#	#	#	#	0	#	0	0.23251219454721658
#	0	#	1	1	#	#	#	#	#	#	1	0.22691644371591016
#	#	#	1	#	#	1	#	#	#	#	1	0.09383641300967026
#	1	0	#	#	#	0	#	#	0	#	0	0.23311213080678234
0	#	#	0	#	#	0	#	#	#	0	0	0.24152708483094032
#	#	1	#	0	#	1	#	1	1	#	1	0.0946929829227794
1	1	1	#	#	#	#	#	#	#	0	0	1.0
#	1	#	#	1	#	0	#	#	0	#	0	0.24754445676117004
#	1	0	#	0	#	#	#	#	1	#	1	0.22499055968154544
#	0	1	#	0	#	#	#	#	#	#	0	0.2337114061333706
0	0	#	1	#	1	1	#	#	#	#	1	0.24309233458977172
1	#	1	#	1	0	#	#	0	#	#	0	0.2459645362897425
1	1	#	#	#	#	#	#	#	#	0	0	0.2343894319142217
#	0	1	#	0	#	#	#	0	#	#	0	1.0
1	1	#	#	0	#	1	#	#	1	#	1	0.2373046875
0	#	#	#	#	0	#	#	#	#	#	0	0.09709406982412942
#	#	0	1	#	#	#	1	#	1	#	1	0.5227344914887737
#	0	#	#	1	#	#	#	1	#	#	1	0.2357931975964723
#	#	1	1	#	#	#	#	0	#	#	0	0.0964686605110735
#	0	0	0	#	#	#	#	#	#	#	0	0.2380589929545175
#	0	#	#	#	#	1	#	1	#	#	1	0.09281764811892691
0	1	#	#	#	1	1	#	#	#	#	1	1.0
1	0	1	#	#	#	#	#	0	#	#	0	1.0
#	#	#	0	#	#	#	#	0	0	1	0	0.095367431640625
#	#	1	#	#	#	#	#	0	#	0	0	0.23653170871907578
#	1	1	#	#	#	1	#	#	#	1	1	1.0
0	#	#	#	1	#	#	#	#	#	0	1	0.09146707626652027
#	0	1	#	#	#	#	#	0	#	#	0	0.2420317239284068
#	#	1	#	#	#	1	#	1	#	1	1	0.5071199549732823
#	0	1	#	1	#	#	#	1	#	#	1	1.0
1	1	#	#	0	#	#	#	#	1	#	1	0.2436493745361309
#	#	0	#	0	0	1	0	#	0	#	0	0.5011991798150075
1	1	#	#	1	#	0	#	#	0	#	0	0.2535525376
#	0	#	1	#	#	#	1	1	1	#	1	0.5011991798150075
0	1	#	#	#	#	0	#	#	0	#	0	0.21979347665694837
1	1	#	#	#	#	#	#	#	0	0	0	1.0
#	#	0	1	1	#	#	#	#	#	#	1	0.09244227392200599
#	#	1	#	#	#	1	#	1	#	#	1	0.22114572775525432
1	#	#	#	#	#	0	#	1	1	#	1	0.2438596708938226
0	0	1	#	1	#	#	#	#	#	#	1	1.0
1	1	0	#	#	#	#	#	#	0	#	0	1.0
#	#	0	#	0	1	#	#	#	1	#	1	0.24727409368436207
0	#	#	0	0	#	0	0	#	0	#	0	0.5193686643598154
1	1	#	#	0	#	1	0	#	1	#	1	0.22397642588184608
0	#	#	0	0	#	#	#	0	#	#	0	0.22059995870325735
#	#	1	0	1	1	#	#	1	#	1	1	0.49514246333408923
#	#	1	0	1	1	0	#	1	#	1	1	0.1991161489782947
#	#	#	#	0	0	#	#	0	#	#	0	0.15153923709685693
#	1	#	#	#	0	0	#	#	0	0	0	1.0
0	#	#	#	#	#	0	#	#	#	#	0	0.09485525542690865
#	0	#	#	#	#	#	#	1	0	#	1	0.08909816299245563
1	#	0	1	#	#	#	#	0	1	1	1	0.22397642588184608
1	1	#	#	#	#	#	#	#	1	#	1	0.2295839415762943
#	#	0	0	#	#	#	#	#	0	#	0	0.23382520691544914
#	0	#	0	#	#	0	#	#	0	0	0	0.1172625283295594
#	#	#	1	#	#	#	#	1	1	#	1	0.15884330732698193
0	#	#	1	1	1	1	#	#	#	#	1	1.0
0	#	0	#	0	1	0	0	1	#	#	1	0.1991161489782947
#	#	0	#	#	#	#	#	#	0	0	0	0.09194960179254409
#	1	1	#	#	#	#	#	#	#	0	0	0.24799239122104125
#	1	#	#	0	#	#	0	#	0	#	0	0.09802127962964617
0	1	#	#	#	#	0	0	#	#	#	0	0.2373046875
#	#	0	0	0	#	1	0	#	#	#	0	0.26055281406691305
0	1	#	#	#	#	1	#	#	#	#	1	0.24298157628352435
#	#	0	#	#	1	#	#	0	#	#	1	0.10311885172899929
0	1	0	#	#	1	#	#	#	#	#	1	1.0
1	#	0	#	#	0	0	#	#	0	#	0	0.2451617806554396
#	1	#	#	#	#	#	#	1	1	#	1	0.09206403271964238
0	0	#	#	1	1	#	0	#	#	#	1	0.2266170619465376
#	0	#	#	1	#	#	1	1	#	#	1	0.4683065476823843
1	1	#	0	#	#	#	#	0	0	#	0	0.2495343537242618
#	#	1	#	#	0	1	1	1	#	#	1	0.18593443208187066
#	1	0	0	#	#	#	#	1	0	#	0	0.2334895791260084
#	1	#	#	0	0	#	#	#	0	0	0	0.5417169694823225
#	0	0	#	#	#	1	0	#	#	#	0	0.24691871275191746
#	1	1	#	#	0	0	0	1	#	#	0	0.2535525376
0	1	1	#	#	#	0	#	#	#	#	0	1.0
#	1	#	0	#	#	#	#	#	0	0	0	0.24116950334043624
#	#	1	#	0	0	#	#	#	1	0	0	0.24124653953202002
#	#	0	0	#	#	1	0	#	1	#	0	0.10668411924789062
0	#	0	0	#	0	#	#	#	#	#	0	1.0
#	1	1	1	0	0	#	1	#	#	1	1	0.2373046875
0	#	1	#	#	#	1	#	#	#	#	1	0.22344270415179862
#	1	1	0	1	#	#	#	1	#	1	1	0.18593443208187066
#	#	0	1	0	#	0	1	#	#	0	1	0.18593443208187066
0	#	#	1	1	1	#	#	#	#	#	1	0.49975812504827255
#	1	1	#	0	#	#	#	#	#	1	1	0.2567458542283846
0	1	1	#	#	#	1	#	#	#	#	1	1.0
0	0	#	0	0	#	0	#	#	#	#	0	1.0
#	#	0	1	#	1	#	#	#	1	#	1	0.5051612089379387
#	#	1	#	0	#	#	#	0	#	#	0	0.23414067030125063
#	0	0	1	#	0	#	#	1	#	#	1	0.2131111563996246
0	1	#	#	#	1	#	#	#	#	#	1	0.24045192052740574
0	1	#	#	1	0	#	#	1	0	#	0	0.2935778904262872
1	#	1	#	0	#	#	#	#	1	0	0	0.21635505760422732
#	1	1	1	#	#	0	#	0	#	#	0	0.21635505760422732
1	#	1	#	#	#	#	#	0	#	#	0	0.26010635629992535
#	#	1	1	#	#	#	#	#	#	0	0	0.10002264305236883
#	#	0	#	#	1	#	#	#	1	#	1	0.23289394275505867
0	0	#	0	#	#	#	#	#	#	#	0	0.22397642588184608
#	#	1	1	1	#	1	#	1	1	1	1	1.0
#	0	#	1	#	0	#	#	1	#	#	1	0.2194706097528251
1	#	#	#	#	#	1	#	1	#	1	1	0.21441675208427144
#	#	0	#	#	0	#	#	#	0	#	0	0.2373046875
0	#	1	#	1	#	1	#	0	#	#	1	1.0
0	0	#	#	0	0	#	#	0	#	#	0	0.2278137396050989
0	#	#	1	1	1	#	#	#	1	#	1	0.44370531249999995
#	0	0	#	#	1	#	0	0	0	1	0	0.18593443208187066
1	0	#	1	0	#	#	0	0	#	#	0	1.0
#	#	#	#	1	#	#	1	1	#	#	1	0.13582802855683995
#	0	1	#	#	#	1	#	1	#	#	1	0.2373046875
0	0	#	0	0	#	1	#	#	#	#	0	1.0
0	1	#	#	#	0	#	#	1	0	#	0	0.31792832049740294
#	#	#	#	#	0	#	0	#	#	#	0	0.10267254704662335
#	#	0	#	1	1	1	1	#	1	#	1	0.4939144320360374
#	#	#	1	1	1	#	#	#	1	#	1	0.21330670708970653
0	0	#	#	0	#	#	#	#	#	1	0	0.24762075575478368
1	#	0	#	#	#	#	1	#	#	#	1	0.23980260955266391
1	#	#	1	#	#	#	#	0	0	0	0	0.4866564476661029
0	#	1	1	1	1	#	#	#	#	1	1	0.19649623617673456
#	0	0	1	#	#	#	1	#	#	#	1	1.0
1	1	#	#	#	#	#	#	#	1	1	1	1.0
0	0	#	#	1	1	0	#	#	#	#	1	0.2323403299440141
#	1	0	1	#	1	#	#	#	#	#	1	0.23469696901276463
0	0	#	#	0	#	1	#	#	#	#	0	0.2270775906962369
1	0	#	#	#	#	#	#	1	#	#	1	0.21997277954522657
#	0	0	1	0	#	#	#	1	#	#	1	0.18593443208187066
0	1	#	#	#	0	#	1	#	0	1	0	0.2731986815017553
1	#	1	#	#	#	#	#	#	#	0	0	0.22415365045430038
#	1	0	1	0	#	#	#	#	1	#	1	0.21720617794361205
1	0	#	#	#	#	#	1	1	#	#	1	1.0
#	#	1	0	#	#	#	#	1	#	#	1	0.0915121201321352
#	1	#	#	#	0	#	#	1	0	#	0	0.2567458542283846
1	0	0	#	#	#	#	0	#	#	#	0	1.0
#	1	1	#	#	#	1	#	0	#	#	1	0.2287694473461487
#	1	0	#	0	1	#	#	#	#	#	1	0.24571891564199155
#	0	0	#	#	#	#	0	#	0	#	0	0.22651993479986546
#	0	0	1	#	#	#	#	#	#	#	1	0.2345517627009267
1	#	0	#	#	#	#	0	#	0	#	0	1.0
#	1	0	#	#	0	#	#	#	#	#	0	0.23867638723997833
0	#	1	#	1	#	1	#	#	#	#	1	1.0
0	0	1	#	0	#	#	#	#	#	#	0	1.0
#	#	1	#	0	#	#	#	#	#	0	0	0.21918797299789008
#	1	#	1	0	0	0	#	1	0	#	0	0.512908935546875
#	0	1	#	#	#	#	#	1	#	#	1	0.24899235924241161
1	1	0	#	#	#	#	#	#	1	#	1	1.0
1	0	#	#	#	#	#	0	#	#	#	0	0.23030091234798342
#	1	1	#	#	#	0	#	#	#	#	0	0.24016374711791208
0	0	#	0	#	#	0	1	#	#	#	0	0.2373046875
1	#	#	#	#	#	#	#	#	0	#	0	0.09747414185730949
#	#	0	#	1	#	#	#	#	0	#	0	0.09747414185730949
#	1	#	#	#	#	#	#	#	0	0	0	0.24171543451101707
#	#	1	1	#	#	1	#	1	1	1	1	0.5241073981293608
#	0	#	1	#	#	#	1	#	#	#	1	0.24463740800999492
#	1	1	#	0	#	0	#	#	#	#	0	0.2285166075749525
#	1	#	#	#	1	1	#	#	1	#	1	0.48331580457369583
1	#	#	#	0	#	#	0	#	0	#	0	0.26150027784488145
1	0	#	#	#	#	1	#	1	#	1	1	0.2314600316517187
1	#	1	#	1	#	#	#	0	#	#	0	0.2402933738360162
0	1	#	0	#	0	0	#	#	#	#	0	1.0
1	#	1	0	#	0	#	#	#	#	1	1	0.24345215148144456
1	#	1	#	0	#	#	0	0	0	0	0	1.0
#	0	1	#	#	#	0	#	1	#	#	1	0.2373046875
#	0	0	0	#	#	#	#	#	#	1	0	0.24326681946242032
0	0	#	1	#	#	#	1	0	#	#	1	0.2495343537242618
0	0	#	0	#	#	0	#	#	#	#	0	0.2373046875
#	1	0	#	0	1	1	1	#	#	#	1	0.20346349914002398
1	#	0	#	#	#	#	0	#	#	0	0	0.24345215148144456
#	0	0	0	#	#	#	0	#	#	#	0	1.0
1	#	1	#	#	0	#	#	#	#	0	0	0.2342067575938101
1	1	#	#	#	#	1	1	0	#	1	1	0.22481780895283973
#	#	0	#	1	1	#	1	0	1	#	1	0.5011991798150075
#	#	0	#	1	#	#	1	0	1	#	1	0.231092867969897
0	#	#	#	1	#	#	#	0	#	#	1	0.08937143884410428
1	#	1	#	#	#	#	#	0	#	0	0	1.0
#	0	0	0	#	0	#	0	#	#	#	0	1.0
0	0	#	1	#	#	#	#	1	#	#	1	0.22796316485222398
1	0	1	#	#	#	#	#	1	#	#	1	1.0
1	1	1	#	#	#	#	#	#	#	1	1	1.0
1	#	1	#	#	1	#	#	0	#	#	0	0.2373046875
1	#	#	#	0	#	#	#	#	1	#	1	0.095367431640625
0	#	1	#	1	#	#	#	#	0	1	1	0.18593443208187066
#	1	1	#	#	#	#	#	1	#	0	0	0.2503403425672665
0	#	0	#	#	0	0	#	1	#	#	0	0.2503403425672665
0	#	0	1	#	1	#	#	#	#	#	1	1.0
#	#	1	#	1	#	1	#	1	1	1	1	1.0
#	#	0	#	#	0	#	0	1	#	#	0	0.2503403425672665
#	1	0	1	#	#	#	1	#	1	#	1	0.2438596708938226
0	1	0	#	#	0	#	#	#	#	#	0	1.0
#	#	1	#	#	#	1	1	1	#	1	1	0.48894551440329226
0	0	#	#	0	0	0	#	1	#	#	0	0.21208362139917689
#	1	#	0	#	#	0	#	#	#	#	0	0.10246888976170301
#	1	#	0	#	#	1	#	0	#	1	1	0.21720617794361205
1	0	#	#	#	#	#	0	#	0	#	0	0.32049431460831423
0	#	1	#	1	#	#	#	#	#	#	1	0.20519558476301528
#	1	#	#	#	1	#	#	#	1	#	1	0.21586623029028973
0	#	0	1	#	#	#	1	#	#	#	1	0.27052290701991805
#	0	#	0	#	#	#	0	#	0	1	0	0.25231930775284844
#	0	#	0	#	#	#	0	#	1	#	0	0.2669329234418463
#	1	0	#	#	1	#	#	#	1	#	1	1.0
#	1	#	1	#	0	#	#	#	0	#	0	0.2486029088752241
0	#	#	1	#	#	#	#	#	#	#	1	0.09514533711287762
#	#	0	#	1	0	#	0	#	#	#	0	0.2529116063365419
#	1	0	#	#	#	1	1	1	0	#	0	0.1590361251087416
#	1	0	1	#	#	#	#	#	1	#	1	0.2669329234418463
#	1	1	#	#	#	0	0	#	#	#	0	0.2486029088752241
1	0	#	#	0	0	0	0	#	#	#	0	0.28462802079628785
1	0	#	#	#	#	#	#	0	#	1	0	0.26331750696976275
1	0	#	#	0	#	#	0	#	#	#	0	0.25231930775284844
1	#	0	#	#	1	#	1	0	#	#	1	0.21405831560130784
0	#	#	#	#	0	#	1	#	#	#	0	0.10689109598069121
#	#	0	0	#	0	#	0	#	#	#	0	0.5417169694823225
#	0	0	#	#	#	#	1	#	#	#	1	0.264011787231801
#	0	#	0	0	#	#	0	#	1	#	0	0.6032156097702825
